Var1_1,Var1_2,s
0.5571768,-1.074051,C=CC(C)(OC(N(C)C)=O)CCC=C(C)C
0.3794699,-1.379284,C=CC(C)CCC=C(C)C
0.4124577,-1.302375,C=CC(C)CCC=C(C)CCC=O
0.321071,-1.413706,C=CC(CC(CC(C)C)=O)C
0.1074606,-1.320873,C=CC(CCCC(C)(C)OC(C)=O)=C
0.4299257,-1.287258,C=CC1(C=O)CCC=CC1
0.4368204,-1.188645,C=CC1=CC(OC)=C(O)C=C1
0.5478158,-1.256596,C=CC1=CC=C(O)C=C1
0.4222721,-1.274032,C=CC1=CC=C(OC)C=C1
0.3172402,-1.276207,C=CC1=CC=CC=C1
0.3140891,-1.487768,C=CC=CC#CCCCCC
0.4200092,-1.189835,C=CCC1=CC(OC)=C(O)C=C1
0.367178,-1.316756,C=CCC1=CC(OCO2)=C2C(OC)=C1
0.5710729,-1.272364,C=CCC1=CC=C(O)C=C1
0.4691085,-1.258502,C=CCC1=CC=C(OC)C=C1
0.3246228,-1.173154,C=CCC1=CC=C2C(OCO2)=C1
0.3786023,-1.19169,C=CCC1=CC=CC=C1
0.1423841,-1.236913,C=CCCCCCCC/C=C/CC#N
0.4725179,-1.292363,C=CCCCCCCC=O
0.5085863,-1.273218,C=CCCCCCCCC=O
0.5446574,-1.254072,C=CCCCCCCCCC=O
0.1620148,-1.50209,C=CCCCCCCCCCO
0.1739837,-1.489822,C=CCCCCCCCCO
0.1159128,-1.417265,C=CCCCCCCCCOC(C)=O
0.1552582,-1.203857,C=CCOC(COC1CCCCC1)=O
0.3989863,-1.456597,CC(=CCO)CCC=C(C)C
0.5062692,-1.240991,CC(C#N)(C=C)CC1=CC=CC=C1
0.3556987,-1.477376,CC(C(C(/C=C/C)=O)CC1)=CC1(C)C
0.7959616,-0.9361954,CC(C(C)O)C(C(C(C)(C)C)C)C
0.3228463,-1.180949,CC(C(C)O)CC1=CC=CC=C1
0.2065633,-1.284804,CC(C(C)O)CCCC(C)(C)OC
0.8174793,-1.372397,CC(C(C1=CC(C)=C(C=O)C=C21)(C)C)C(C)C2(C)C
0.4468693,-1.045359,CC(C(C=C(C)C)=O)(C)C=C
0.04332407,-1.281928,CC(C(CC(=CC)C)C)=O
0.007150631,-1.247695,CC(C(CC1)=C(C1C)C2)CCC2C(C)(C)OC(C)=O
0.4646571,-1.092026,CC(C(CC1)CCC1=O)(CC)C
0.03042406,-1.464588,CC(C(CCC1C2OCOC1)=C2C3(C)C)(C3C)C
0.3874241,-1.123921,CC(C(CCCCC)O1)CC1=O
0.4490359,-1.114971,CC(C(CCCCCC)O1)CC1=O
0.5005376,-1.192826,CC(C(OC)OC)C1=CC=CC=C1
0.08294509,-1.204711,CC(C(OCC(C)O)=O)O
0.3975173,-1.293345,CC(C(OCCCC)=O)C
0.5391071,-1.170391,CC(C([N+]([O-])=O)=C1C(C)(C)C)=C(C(C)=O)C(C)=C1[N+]([O-])=O
0.2539987,-1.285962,CC(C)(C)C(CC1)CCC1=O
0.8064005,-1.309923,CC(C)(C)C1=CC2=C(CCC2(C)C)C(C(C)=O)=C1
0.5296206,-1.062884,CC(C)(C)C1=CC=C(C(C)=O)C=C1
